id	char
690	幅
691	幕
692	幣
693	幫
694	平
695	年
696	幸
697	幻
698	幼
699	幽
700	幾
701	床
702	序
703	底
704	庖
705	店
706	度
707	座
708	庫
709	庭
710	廂
711	廉
712	廊
713	廓
714	廢
715	廣
716	廳
717	延
718	廷
719	建
720	弄
721	式
722	弓
723	引
724	弟
725	弦
726	弧
727	弱
728	張
729	強
730	彆
731	彈
732	彌
733	彎
734	形
735	彩
736	影
737	彷
738	役
739	彼
740	彿
741	往
742	待
743	很
744	徊
745	律
746	後
747	徐
748	徒
749	得
750	徘
751	從
752	復
753	微
754	徵
755	德
756	徹
757	徽
758	心
759	必
760	忍
761	忘
762	忙
763	忠
764	快
765	念
766	忽
767	忿
768	怎
769	怒
770	怕
771	思
772	急
773	性
774	怨
775	怪
776	怯
777	恍
778	恐
779	恒
780	恕
781	恨
782	恩
783	息
784	恰
785	悄
786	悉
787	悔
788	悟
789	悠
790	悲
791	悴
792	悵
793	悶
794	情
795	惆
796	惑
797	惚
798	惜
799	惠
800	惡
801	惦
802	惱
803	想
804	惹
805	愁
806	愉
807	意
808	愛
809	感
810	愧
811	慈
812	態
813	慌
814	慘
815	慚
816	慢
817	慣
818	慨
819	慰
820	慵
821	慶
822	憂
823	憊
824	憐
825	憔
826	憫
827	憶
828	懂
829	應
830	懊
831	懐
832	懟
833	懦
834	懲
835	懶
836	懷
837	懸
838	懺
839	懼
840	戀
841	戈
842	戎
843	成
844	我
845	戒
846	或
847	截
848	戮
849	戰
850	戲
851	戴
852	房
853	所
854	扇
855	手
856	打
857	托
858	扣
859	扭
860	扯
861	批
862	找
863	承
864	技
865	抄
866	把
867	抑
868	抓
869	投
870	抖
871	抗
872	抬
873	抱
874	抵
875	抹
876	押
877	抽
878	拆
879	拉
880	拋
881	拌
882	拍
883	拒
884	拓
885	拖
886	拙
887	招
888	拜
889	括
890	拯
891	拳
892	拼
893	拽
894	拿
895	持
896	指
897	按
898	挑
899	挖
900	挽
901	挾
902	捂
903	捆
904	捏
905	捨
906	捲
907	掂
908	掃
909	掉
910	掌
911	掏
912	排
913	掙
914	掛
915	掠
916	探
917	接
918	控
919	推
920	掩
921	掬
922	掰
923	揍
924	描
925	提
926	插
927	揚
928	換
929	握
930	揭
931	揮
932	援
933	損
934	搏
935	搐
936	搖
937	搜
938	搞
939	搬
940	搶
941	摔
942	摘
943	摧
944	摩
945	摹
946	摺
947	撂
948	撈
949	撐
950	撒
951	撕
952	撞
953	撤
954	撫
955	播
956	撲
957	撿
958	擀
959	擁
960	擂
961	擅
962	擇
963	擊
964	擋
965	操
966	擎
967	擔
968	據
969	擠
970	擦
971	擬
972	擱
973	擴
974	擺
975	擾
976	攏
977	攘
978	攝
979	攤
980	攪
981	攬
982	支
983	收
984	改
985	攻
986	放
987	故
988	效
989	敏
990	救
991	敗
992	教
993	敢
994	散
995	敦
996	敬
997	敲
998	整
999	敵
1000	敷
1001	數
1002	斂
1003	文
1004	斑
1005	料
1006	斜
1007	斤
1008	斯
1009	新
1010	斷
1011	方
1012	於
1013	旁
1014	旅
1015	族
1016	旗
1017	日
1018	旦
1019	早
1020	旳
1021	明
1022	昏
1023	易
1024	昔
1025	星
1026	映
1027	春
1028	昧
1029	昨
1030	是
1031	昵
1032	時
1033	晃
1034	晚
1035	晤
1036	晨
1037	景
1038	晰
1039	晴
1040	晶
1041	暈
1042	暉
1043	暖
1044	暗
1045	暫
1046	暴
1047	曆
1048	曉
1049	曖
1050	曠
1051	曦
1052	曬
1053	曳
1054	更
1055	書
1056	曹
1057	曾
1058	替
1059	最
1060	會
1061	月
1062	有
1063	朋
1064	服
1065	朗
1066	望
1067	朝
1068	期
1069	朦
1070	朧
1071	木
1072	未
1073	末
1074	本
1075	朵
1076	朽
1077	杆
1078	李
1079	材
1080	村
1081	杖
1082	杜
1083	杞
1084	束
1085	杯
1086	東
1087	杵
1088	林
1089	枚
1090	果
